所屬分區,縣市名稱,預報開始時間,預報結束時間,天氣現象 (Wx),最低氣溫 (°C),最高氣溫 (°C)
北部地區,基隆市,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,多雲短暫雨,24,30
北部地區,臺北市,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,晴時多雲,24,33
北部地區,新北市,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,多雲時晴,24,32
北部地區,桃園市,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,多雲時晴,24,32
北部地區,新竹市,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,晴時多雲,24,31
北部地區,新竹縣,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,晴時多雲,24,31
北部地區,苗栗縣,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,多雲午後短暫雷陣雨,24,32
中部地區,臺中市,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,晴午後短暫雷陣雨,25,34
中部地區,彰化縣,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,晴午後短暫雷陣雨,25,33
中部地區,南投縣,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,多雲午後短暫雷陣雨,23,32
中部地區,雲林縣,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,多雲時晴,25,33
南部地區,嘉義市,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,多雲午後短暫陣雨,25,33
南部地區,嘉義縣,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,多雲午後短暫陣雨,25,33
南部地區,臺南市,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,陰局部陣雨,26,32
南部地區,高雄市,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,多雲短暫陣雨,26,33
南部地區,屏東縣,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,陰時多雲短暫陣雨,25,32
東北部地區,宜蘭縣,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,陰局部短暫雨,23,30
東部地區,花蓮縣,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,多雲午後短暫陣雨,24,31
東南部地區,臺東縣,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,多雲短暫陣雨,25,31
外島地區,澎湖縣,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,晴時多雲,26,31
外島地區,金門縣,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,晴天,25,32
外島地區,連江縣,2026-09-22T00:00:00+08:00,2026-09-22T12:00:00+08:00,多雲短暫雨,23,28
